opportunity_id,product_ids,sales_rep_name,client_location_id,new_flag,created_date,update_date,projected_close_date,sales_stage_history,comments,renewal_flag,opportunity_amount
16,"[2, 3]",sales_rep_28,7,N,2021-04-28,2021-12-15,2022-01-18,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,8346
17,"[3, 4, 1, 2]",sales_rep_68,3,N,2022-03-16,2022-05-13,2022-11-12,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,264475
18,"[3, 2]",sales_rep_65,2,N,2022-09-13,2022-11-27,2022-11-27,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/lost']","['', 'difficult deal', '', '', '']",False,59
19,[4],sales_rep_78,8,Y,2021-08-16,2022-09-06,2022-10-10,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
20,"[4, 1, 2, 3]",sales_rep_43,2,Y,2022-05-06,2022-08-03,2022-11-02,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,125180
21,[4],sales_rep_81,9,N,2021-02-01,2022-10-11,2022-10-15,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,18200
22,"[3, 1, 2, 4]",sales_rep_21,1,N,2022-03-02,2022-10-30,2022-11-14,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
23,"[4, 1]",sales_rep_21,5,N,2021-12-25,2022-10-18,2022-11-23,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,848
24,"[3, 4, 1]",sales_rep_59,3,Y,2021-07-12,2022-11-25,2022-11-30,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,152890
25,[2],sales_rep_71,2,N,2022-08-26,2022-10-25,2022-10-27,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,91412
26,"[2, 4, 1]",sales_rep_56,9,N,2021-12-29,2022-02-02,2022-11-06,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
27,"[2, 4, 3]",sales_rep_9,1,N,2022-01-14,2022-07-03,2022-11-14,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,8316800
28,"[1, 4]",sales_rep_74,1,Y,2022-09-27,2022-11-24,2022-11-25,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
29,"[3, 1, 4, 2]",sales_rep_22,6,Y,2021-10-21,2022-03-01,2022-09-09,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,4477041
30,"[3, 2, 1, 4]",sales_rep_36,9,N,2021-03-27,2021-07-20,2022-01-09,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
31,"[3, 4, 2]",sales_rep_14,1,N,2021-07-23,2022-04-02,2022-04-30,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,157525
32,"[2, 3]",sales_rep_47,3,N,2022-07-17,2022-08-07,2022-11-09,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
33,"[3, 2, 1]",sales_rep_79,1,N,2021-07-04,2022-09-18,2022-09-20,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
34,"[4, 3, 2]",sales_rep_17,9,N,2022-10-29,2022-11-08,2022-11-23,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,323979
35,"[1, 4, 2, 3]",sales_rep_79,9,N,2021-03-23,2021-07-28,2022-10-05,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,1027
36,"[3, 4]",sales_rep_70,9,N,2022-11-15,2022-11-27,2022-11-30,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,12548
37,[2],sales_rep_80,6,N,2021-12-14,2022-08-05,2022-08-19,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,0
38,[3],sales_rep_11,6,N,2022-01-12,2022-09-10,2022-11-25,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,99496
39,"[4, 3, 1]",sales_rep_9,8,Y,2022-03-13,2022-08-24,2022-10-24,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,32098
40,"[3, 2, 4]",sales_rep_9,5,N,2022-07-07,2022-09-08,2022-09-08,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,65618
41,[2],sales_rep_50,1,Y,2021-03-30,2021-05-30,2021-08-25,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,502
42,"[2, 3]",sales_rep_46,6,Y,2022-04-03,2022-10-15,2022-11-09,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,19721
43,"[2, 4, 1]",sales_rep_88,5,N,2022-03-27,2022-08-30,2022-08-31,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/lost']","['', 'difficult deal', '', '', '']",False,2331523
44,"[2, 3, 1]",sales_rep_56,2,Y,2021-08-08,2022-07-10,2022-09-27,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,160
45,"[3, 4, 1, 2]",sales_rep_62,9,N,2021-03-26,2021-03-31,2021-06-22,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/won']","['', 'difficult deal', '', '', '']",False,60121
46,"[1, 4, 3, 2]",sales_rep_11,6,N,2021-03-11,2022-04-08,2022-09-12,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,478934
47,"[1, 3, 2]",sales_rep_86,2,N,2021-12-13,2022-09-11,2022-11-24,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,134
48,[3],sales_rep_60,5,N,2021-07-04,2021-07-31,2022-07-12,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,5183425
49,[2],sales_rep_2,7,N,2022-05-14,2022-05-21,2022-11-18,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
50,"[3, 1, 2, 4]",sales_rep_33,5,N,2021-02-26,2021-10-02,2022-02-09,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,5490
51,"[1, 4, 3]",sales_rep_52,6,N,2021-10-12,2022-05-25,2022-08-14,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,0
52,[1],sales_rep_76,4,N,2022-02-13,2022-08-23,2022-10-10,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
53,"[1, 3, 2, 4]",sales_rep_10,5,Y,2022-02-21,2022-02-24,2022-08-06,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,-9999
54,[4],sales_rep_28,7,N,2022-08-15,2022-08-16,2022-08-31,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,185161
55,"[3, 2, 4, 1]",sales_rep_60,3,N,2021-06-18,2021-11-24,2022-05-20,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
56,"[4, 2, 1, 3]",sales_rep_89,2,Y,2022-06-09,2022-08-08,2022-11-10,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,-9999
57,[3],sales_rep_47,5,N,2021-11-17,2022-06-27,2022-11-14,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,259437
58,"[3, 2]",sales_rep_71,2,N,2021-06-08,2022-11-30,2022-11-30,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,-9999
59,[2],sales_rep_32,4,N,2022-06-06,2022-07-30,2022-11-22,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,0
60,"[2, 3, 1, 4]",sales_rep_11,2,N,2021-08-11,2022-01-28,2022-06-26,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,53
61,[1],sales_rep_61,1,N,2022-02-13,2022-05-12,2022-07-10,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,584789
62,"[3, 2, 1, 4]",sales_rep_23,4,Y,2022-04-13,2022-05-21,2022-06-03,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,3573
63,"[2, 1]",sales_rep_83,8,Y,2022-10-26,2022-11-19,2022-11-23,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
64,[3],sales_rep_9,6,N,2022-03-12,2022-05-19,2022-07-29,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,18782
65,[2],sales_rep_36,2,Y,2022-11-25,2022-11-27,2022-11-29,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,2100374
66,"[2, 3]",sales_rep_7,6,N,2022-03-15,2022-05-13,2022-07-03,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,994609
67,"[1, 4, 2, 3]",sales_rep_74,8,Y,2022-04-24,2022-05-26,2022-09-01,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,400
68,"[1, 3, 4]",sales_rep_94,1,N,2021-05-17,2022-08-25,2022-10-10,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,3563
69,"[4, 3]",sales_rep_51,5,N,2022-08-22,2022-08-29,2022-09-25,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,493
70,"[3, 4]",sales_rep_78,4,N,2022-11-12,2022-11-22,2022-11-25,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,4
71,[3],sales_rep_100,5,N,2022-10-20,2022-11-27,2022-11-28,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
72,[4],sales_rep_68,1,Y,2021-12-17,2022-05-30,2022-06-09,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,743118
73,[2],sales_rep_86,2,N,2021-02-24,2021-03-21,2021-05-02,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,131795
74,"[3, 1]",sales_rep_65,6,Y,2021-08-31,2021-09-21,2022-03-22,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,2802249
75,"[1, 3, 2, 4]",sales_rep_19,6,N,2021-03-20,2022-10-07,2022-10-09,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/lost']","['', 'difficult deal', '', '', '']",False,4807049
76,"[2, 3]",sales_rep_22,9,Y,2022-11-24,2022-11-26,2022-11-29,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
77,"[4, 3, 2, 1]",sales_rep_8,4,N,2022-09-12,2022-10-10,2022-10-18,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
78,"[3, 1, 4, 2]",sales_rep_71,3,N,2022-02-16,2022-10-29,2022-11-08,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,447
79,"[4, 1]",sales_rep_95,8,Y,2021-09-02,2021-10-08,2021-11-14,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,8539923
80,"[2, 1]",sales_rep_88,6,N,2021-06-09,2021-09-13,2022-11-19,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,4350665
81,[3],sales_rep_82,5,N,2021-09-01,2022-02-07,2022-07-06,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,14448
82,[4],sales_rep_4,7,N,2021-03-23,2022-10-08,2022-11-01,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,0
83,"[3, 2, 1, 4]",sales_rep_29,1,N,2022-06-27,2022-09-26,2022-11-02,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,19621
84,"[1, 2]",sales_rep_25,8,N,2021-11-26,2022-03-31,2022-10-27,"['prospecting', 'acquire', 'prospecting', 'acquire', 'prospecting', 'acquire', 'closed/won']","['', 'difficult deal', '', 'difficult deal', '', '', '']",False,3658341
85,"[3, 2]",sales_rep_35,5,Y,2022-07-04,2022-11-06,2022-11-07,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,136912
86,"[3, 1, 2, 4]",sales_rep_30,5,N,2022-10-17,2022-11-15,2022-11-30,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,9694
87,[3],sales_rep_52,6,Y,2022-08-10,2022-09-17,2022-10-08,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,2864133
88,"[4, 3, 2]",sales_rep_41,8,Y,2022-07-15,2022-11-22,2022-11-30,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,155589
89,[3],sales_rep_67,8,N,2022-05-08,2022-10-28,2022-11-24,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,263
90,"[4, 1]",sales_rep_65,1,N,2022-08-17,2022-10-07,2022-10-15,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,37819
91,[3],sales_rep_20,2,N,2021-10-10,2022-01-10,2022-11-24,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,732228
92,"[3, 4, 2]",sales_rep_6,9,N,2021-04-02,2022-11-13,2022-11-30,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
93,"[2, 3, 1, 4]",sales_rep_67,5,Y,2022-01-14,2022-06-12,2022-10-27,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,5
94,"[1, 2, 3]",sales_rep_11,4,N,2021-05-14,2022-10-03,2022-11-18,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/won']","['', 'difficult deal', '', '', '']",False,7068
95,[2],sales_rep_93,7,N,2022-08-19,2022-11-19,2022-11-29,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,9065404
96,"[2, 1, 3, 4]",sales_rep_88,3,N,2022-06-13,2022-10-22,2022-11-21,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,23
97,"[2, 1, 4]",sales_rep_63,6,N,2022-11-25,2022-11-26,2022-11-29,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,1319492
98,[4],sales_rep_14,5,N,2021-01-12,2021-04-24,2022-03-07,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
99,"[3, 2, 4, 1]",sales_rep_87,9,N,2022-09-29,2022-10-27,2022-11-11,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,30621
100,"[3, 1, 4]",sales_rep_37,8,Y,2021-06-12,2022-04-21,2022-04-25,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,0
101,"[2, 1, 3]",sales_rep_77,6,N,2021-11-12,2022-07-19,2022-11-27,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/lost']","['', 'difficult deal', '', '', '']",False,144
102,"[2, 4]",sales_rep_35,9,N,2021-09-19,2022-07-20,2022-09-01,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,9007456
103,"[2, 3]",sales_rep_45,1,Y,2021-06-11,2022-01-14,2022-10-15,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,5208834
104,"[4, 3, 2]",sales_rep_85,2,N,2021-09-06,2021-09-14,2022-01-28,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,2051539
105,[2],sales_rep_70,5,Y,2022-03-06,2022-11-30,2022-11-30,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,66565
106,"[1, 3, 4]",sales_rep_47,6,Y,2022-11-28,2022-11-28,2022-11-28,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,2
107,"[1, 3, 4, 2]",sales_rep_3,4,N,2022-05-18,2022-07-20,2022-10-18,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,228
108,"[3, 4, 2]",sales_rep_43,9,Y,2022-04-20,2022-09-02,2022-09-29,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,6123714
109,"[4, 1]",sales_rep_27,7,Y,2022-02-12,2022-03-16,2022-06-25,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,306
110,[4],sales_rep_1,4,N,2021-03-16,2022-04-03,2022-09-19,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/lost']","['', 'difficult deal', '', '', '']",False,0
111,"[2, 3, 4]",sales_rep_70,5,N,2021-03-19,2022-06-24,2022-09-18,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,927
112,"[2, 3]",sales_rep_15,2,N,2022-01-05,2022-05-28,2022-09-03,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
113,"[4, 3, 2]",sales_rep_30,2,N,2021-07-21,2022-09-28,2022-11-19,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,5245135
114,"[1, 2, 4, 3]",sales_rep_74,5,N,2021-04-11,2021-09-28,2022-06-14,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,9253
115,"[4, 1, 2]",sales_rep_10,4,Y,2021-06-14,2022-01-08,2022-05-22,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,238
116,[1],sales_rep_61,4,N,2021-07-21,2022-06-20,2022-08-27,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,2733709
117,"[1, 3, 2]",sales_rep_65,1,N,2021-09-04,2022-09-21,2022-11-23,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,28
118,[4],sales_rep_98,8,N,2021-04-11,2022-08-05,2022-08-28,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,912
119,"[4, 2, 1, 3]",sales_rep_31,4,Y,2022-04-02,2022-06-06,2022-08-29,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,20236
120,"[1, 2, 4, 3]",sales_rep_70,2,N,2021-10-25,2022-11-29,2022-11-29,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,160
121,[1],sales_rep_6,8,N,2022-04-08,2022-08-10,2022-11-11,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/won']","['', 'difficult deal', '', '', '']",True,0
122,"[1, 2, 3, 4]",sales_rep_39,6,N,2022-09-18,2022-11-09,2022-11-16,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,964
123,[2],sales_rep_99,3,N,2022-07-26,2022-11-29,2022-11-30,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,7222
124,"[3, 1, 4]",sales_rep_89,5,N,2021-01-29,2021-06-20,2022-05-05,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,57
125,"[1, 3]",sales_rep_27,7,N,2021-06-03,2022-08-01,2022-10-02,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
126,"[1, 2, 4]",sales_rep_32,6,N,2021-07-14,2022-11-23,2022-11-28,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,684
127,"[3, 4, 2]",sales_rep_54,6,N,2022-03-01,2022-07-23,2022-11-15,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,0
128,[3],sales_rep_40,6,N,2021-02-27,2021-11-09,2022-01-06,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,1
129,[4],sales_rep_30,6,N,2021-01-03,2021-05-04,2021-09-24,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,555
130,[3],sales_rep_70,2,Y,2022-06-05,2022-06-21,2022-10-07,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,8138
131,[1],sales_rep_84,7,N,2022-03-30,2022-05-03,2022-08-12,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,9152
132,"[4, 1, 3, 2]",sales_rep_99,8,Y,2021-04-16,2021-04-25,2022-04-26,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,1511
133,"[3, 1]",sales_rep_80,1,N,2021-08-21,2021-12-31,2022-04-10,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,-9999
134,[4],sales_rep_59,4,Y,2022-10-06,2022-11-26,2022-11-29,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,741066
135,"[4, 3, 2, 1]",sales_rep_94,9,Y,2021-10-06,2022-03-29,2022-08-20,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,97173
136,[2],sales_rep_42,4,N,2022-09-01,2022-11-20,2022-11-22,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
137,"[1, 4]",sales_rep_8,6,Y,2022-01-03,2022-09-28,2022-11-19,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,238014
138,"[4, 3, 2]",sales_rep_47,4,N,2021-12-13,2022-03-08,2022-04-12,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,1363877
139,"[4, 1, 3, 2]",sales_rep_36,4,N,2021-06-11,2021-10-06,2022-04-21,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/lost']","['', 'difficult deal', '', '', '']",False,32
140,"[1, 3]",sales_rep_33,3,N,2022-01-03,2022-02-08,2022-07-03,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,1086199
141,"[2, 4]",sales_rep_85,3,N,2021-01-15,2022-06-22,2022-08-08,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,1
142,"[1, 3, 2]",sales_rep_63,7,N,2021-10-17,2022-01-05,2022-09-17,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
143,"[4, 2]",sales_rep_26,2,N,2022-05-15,2022-06-09,2022-10-10,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/lost']","['', 'difficult deal', '', '', '']",False,358323
144,"[2, 4, 1]",sales_rep_90,9,N,2022-04-05,2022-04-15,2022-04-30,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,116435
145,"[4, 2, 1]",sales_rep_27,1,N,2022-11-16,2022-11-26,2022-11-27,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
146,"[4, 2]",sales_rep_82,6,N,2021-07-26,2022-01-11,2022-11-17,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,327330
147,[1],sales_rep_81,2,N,2022-07-18,2022-09-27,2022-11-28,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,1091
148,[1],sales_rep_85,3,Y,2022-08-31,2022-10-03,2022-11-09,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,3970
149,"[1, 3, 2, 4]",sales_rep_38,4,Y,2021-12-01,2022-01-12,2022-05-26,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,2147
150,"[3, 2, 1, 4]",sales_rep_25,9,N,2022-01-25,2022-10-05,2022-10-18,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
151,"[2, 3, 4, 1]",sales_rep_39,4,N,2021-01-08,2022-04-27,2022-05-31,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,959473
152,[1],sales_rep_96,3,Y,2021-09-28,2022-10-01,2022-11-02,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
153,[1],sales_rep_53,9,N,2022-01-09,2022-04-22,2022-10-21,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
154,"[1, 4, 2, 3]",sales_rep_95,8,N,2022-11-04,2022-11-25,2022-11-30,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,30
155,"[1, 3, 4, 2]",sales_rep_7,5,Y,2022-08-15,2022-11-28,2022-11-29,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,1204352
156,"[3, 1, 2]",sales_rep_43,8,Y,2022-10-09,2022-10-16,2022-11-05,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,11
157,"[1, 3, 4]",sales_rep_52,5,N,2021-03-19,2022-07-26,2022-10-29,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
158,"[3, 4, 2]",sales_rep_28,3,Y,2021-12-19,2022-01-12,2022-02-28,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,297095
159,"[1, 4, 3, 2]",sales_rep_99,6,N,2021-10-24,2021-11-24,2022-01-10,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,7544843
160,"[1, 3, 4]",sales_rep_62,2,Y,2021-02-20,2022-01-05,2022-01-20,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,1092369
161,"[4, 2]",sales_rep_58,2,N,2021-11-30,2022-03-16,2022-03-20,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,5592
162,"[4, 1, 3, 2]",sales_rep_4,9,N,2021-12-16,2022-02-21,2022-06-03,"['prospecting', 'acquire', 'prospecting', 'acquire', 'closed/won']","['', 'difficult deal', '', '', '']",False,3060
163,"[4, 1, 3, 2]",sales_rep_97,5,Y,2021-08-04,2021-08-25,2022-06-27,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
164,[1],sales_rep_87,6,Y,2022-05-10,2022-05-15,2022-11-25,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,9
165,"[2, 3]",sales_rep_40,4,N,2021-08-17,2022-09-18,2022-11-02,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,1683
166,"[2, 3, 1, 4]",sales_rep_95,7,N,2021-11-06,2022-05-24,2022-06-03,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,1022167
167,"[2, 1, 3, 4]",sales_rep_74,9,N,2022-08-03,2022-08-31,2022-09-05,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,59319
168,[3],sales_rep_5,6,N,2022-08-11,2022-08-29,2022-11-26,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,872659
169,"[2, 3, 1]",sales_rep_30,8,N,2022-04-22,2022-05-23,2022-11-28,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
170,"[3, 4, 2, 1]",sales_rep_41,2,Y,2022-09-06,2022-11-06,2022-11-20,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,74
171,"[4, 1]",sales_rep_64,7,N,2022-07-07,2022-11-17,2022-11-25,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,57397
172,[3],sales_rep_17,5,Y,2021-11-20,2022-08-15,2022-10-17,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,1268
173,"[1, 2, 4]",sales_rep_29,3,N,2021-06-24,2021-11-25,2022-11-27,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,7341509
174,[2],sales_rep_52,1,N,2022-01-14,2022-02-03,2022-09-25,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,4029431
